Epoch,Training Loss,Validation Loss,Bleu,Rougel,Chrf,Exact Match,Token Accuracy,Bertscore F1
1,3.1929,2.395484,1.411315,0.040021,17.293079,0,0.04539,0.915559
2,2.8524,2.167351,2.449908,0.047601,21.036607,0,0.073155,0.916547
3,2.5644,2.042177,3.287136,0.051205,23.263486,0,0.086937,0.918375
4,2.4077,1.963732,3.716496,0.052193,24.579041,0,0.093668,0.917188
5,2.3745,1.905555,4.196223,0.051363,25.751739,0,0.101088,0.917063
6,2.3833,1.873533,4.378003,0.052131,26.362503,0,0.104176,0.918496
7,2.268,1.849533,4.479002,0.051844,26.73143,0,0.107232,0.918886
8,2.1554,1.840959,4.603193,0.051729,27.061764,0,0.108356,0.919187
9,2.1748,1.834906,4.601963,0.051405,27.112697,0,0.108826,0.918457
10,2.1816,1.834633,4.634041,0.051635,27.12575,0,0.108642,0.91843
11,2.1312,1.826537,4.670429,0.051283,27.200665,0,0.108574,0.918886
12,2.2219,1.825648,4.660745,0.05126,27.267486,0,0.109347,0.91906
13,2.081,1.824876,4.678742,0.051164,27.276209,0,0.109464,0.919091
14,2.2269,1.812681,4.73915,0.051089,27.568562,0,0.110169,0.918994
15,2.1412,1.802998,4.920266,0.050391,27.789777,0,0.111176,0.919372
16,2.1384,1.794902,4.946357,0.051162,27.915676,0,0.11257,0.919131
17,2.0688,1.791779,4.984028,0.050939,28.073043,0,0.113241,0.919235
18,2.0796,1.789485,5.015241,0.050902,28.08544,0,0.113661,0.919758
19,2.1375,1.788706,5.002559,0.051013,28.083424,0,0.113778,0.919547
20,2.1572,1.788808,5.013808,0.051013,28.119777,0,0.113778,0.919542
21,2.1505,1.786187,5.001905,0.050911,28.120488,0,0.114097,0.919886
22,2.2019,1.786579,5.018277,0.050998,28.18647,0,0.11403,0.919837
23,2.1232,1.786404,5.016299,0.051049,28.192427,0,0.11398,0.919954
24,2.1231,1.75,5.014321,0.051124,28.23840067,0,0.114106,0.91996
25,2.145,1.7773,5.012343,0.051193,28.27437017,0,0.1141599,0.91999
