character	count
‍	32071
0	5616
1	4461
2	2753
9	2624
5	1896
3	1462
’	1431
8	1334
7	1320
‘	1316
4	1277
;	1195
6	1183
'	1037
)	673
(	660
”	650
""""	636
“	636
-	563
:	435
%	186
a	159
o	149
i	131
e	125
n	121
t	112
/	105
‌	86
r	84
u	80
s	78
&	73
l	61
#	57
c	54
h	50
_	47
N	47
–	40
*	38
C	37
d	36
g	34
A	33
S	32
p	32
m	28
R	27
q	26
T	25
M	21
P	21
¤	20
y	20
E	20
=	19
B	18
v	17
k	17
O	15
U	14
L	14
I	14
+	13
b	13
H	13
W	11
D	9
f	9
‛	9
G	8
¡	7
x	6
F	6
Z	6
w	6
¥	5
`	4
j	4
½	4
é	4
V	4
¨	4
K	4
X	3
﻿	2
~	2
z	2
�	1
‒	1
®	1
[	1
×	1
Y	1
{	1
§	1
ë	1
@	1
´	1
