character	count
0	2756
1	2233
2	1391
9	1339
5	952
’	776
‘	771
3	752
;	709
7	669
8	660
4	639
6	593
""""	371
)	369
(	366
'	279
-	268
“	246
”	244
:	227
o	120
a	111
t	88
i	85
n	73
&	72
‍	70
e	69
r	62
u	62
%	57
s	53
#	48
/	46
‌	43
l	42
N	40
h	39
_	32
c	30
*	28
–	28
q	25
A	23
g	23
d	22
p	22
T	20
S	20
C	19
¤	19
R	18
E	18
y	16
M	15
P	14
m	13
k	12
O	11
U	10
I	10
B	10
v	10
b	9
+	8
L	8
=	8
W	7
f	7
H	7
¡	6
D	5
¥	5
Z	5
G	5
½	4
¨	4
F	4
é	4
K	3
w	3
x	3
V	2
~	2
j	2
z	2
`	2
X	2
﻿	1
{	1
×	1
@	1
Y	1
ë	1
�	1
[	1
§	1
